ROI ID,Total Intensity:CH1,Average:CH1,Max Intensity:CH1,Min Intensity:CH1,Range:CH1,SD:CH1,3SD:CH1,Total Intensity:CH2,Average:CH2,Max Intensity:CH2,Min Intensity:CH2,Range:CH2,SD:CH2,3SD:CH2,Time,Frame Id
10A,476969.000000,284.927718,1309.000000,27.000000,1282.000000,187.911728,563.735183,2879998.000000,1720.428913,1997.000000,1466.000000,531.000000,72.426991,217.280974,55.386368,t119_0_1
11A,129071.000000,77.103345,299.000000,25.000000,274.000000,47.366760,142.100281,3278935.000000,1958.742533,2060.000000,1893.000000,167.000000,23.835909,71.507727,55.386368,t119_0_1
1A,2512739.000000,1501.038829,4095.000000,28.000000,4067.000000,1492.137227,4476.411681,2092758.000000,1250.154122,1869.000000,229.000000,1640.000000,466.627446,1399.882338,55.855744,t120_0_1
2A,2146936.000000,1282.518519,4095.000000,27.000000,4068.000000,1509.249972,4527.749917,2203938.000000,1316.569892,1815.000000,270.000000,1545.000000,438.258047,1314.774142,55.855744,t120_0_1
3A,2224025.000000,1328.569295,4095.000000,28.000000,4067.000000,1544.842213,4634.526639,2316557.000000,1383.845281,1939.000000,332.000000,1607.000000,401.115533,1203.346599,55.855744,t120_0_1
4A,1870266.000000,1117.243728,4095.000000,27.000000,4068.000000,1460.850492,4382.551476,2339015.000000,1397.261051,2011.000000,330.000000,1681.000000,427.060054,1281.180162,55.855744,t120_0_1
5A,956843.000000,571.590800,4095.000000,25.000000,4070.000000,872.673799,2618.021397,2070063.000000,1236.596774,1969.000000,272.000000,1697.000000,431.461544,1294.384632,55.855744,t120_0_1
6A,845431.000000,505.036440,4095.000000,25.000000,4070.000000,787.602779,2362.808338,1765444.000000,1054.626045,1717.000000,294.000000,1423.000000,366.448995,1099.346986,55.855744,t120_0_1
7A,848433.000000,506.829749,4095.000000,26.000000,4069.000000,815.598756,2446.796267,2316058.000000,1383.547192,1834.000000,489.000000,1345.000000,339.653695,1018.961085,55.855744,t120_0_1
8A,865089.000000,516.779570,4031.000000,26.000000,4005.000000,758.488469,2275.465406,2242771.000000,1339.767622,1748.000000,509.000000,1239.000000,272.745540,818.236619,55.855744,t120_0_1
9A,672300.000000,401.612903,3220.000000,27.000000,3193.000000,468.904913,1406.714740,2556335.000000,1527.081840,1956.000000,879.000000,1077.000000,216.167743,648.503230,55.855744,t120_0_1
10A,456422.000000,272.653524,1529.000000,27.000000,1502.000000,184.155207,552.465622,2866327.000000,1712.262246,2014.000000,1475.000000,539.000000,74.986506,224.959517,55.855744,t120_0_1
11A,131514.000000,78.562724,543.000000,26.000000,517.000000,48.222750,144.668251,3272492.000000,1954.893668,2062.000000,1880.000000,182.000000,24.368108,73.104325,55.855744,t120_0_1
