ROI ID,Total Intensity:CH2,Average:CH2,Max Intensity:CH2,Min Intensity:CH2,Total Intensity:CH3,Average:CH3,Max Intensity:CH3,Min Intensity:CH3,Time,Frame Id
9A,1181661.000000,705.890681,4095.000000,150.000000,720848.000000,430.614098,577.000000,120.000000,5.275584,t009_0_1
10A,1534160.000000,916.463560,4095.000000,151.000000,715291.000000,427.294504,578.000000,119.000000,5.275584,t009_0_1
11A,1458111.000000,871.034050,3334.000000,151.000000,720887.000000,430.637395,578.000000,129.000000,5.275584,t009_0_1
12A,1446983.000000,864.386499,4095.000000,152.000000,762508.000000,455.500597,578.000000,131.000000,5.275584,t009_0_1
13A,1664584.000000,994.375149,4095.000000,153.000000,735268.000000,439.228196,580.000000,119.000000,5.275584,t009_0_1
14A,1459397.000000,871.802270,4095.000000,159.000000,757757.000000,452.662485,582.000000,124.000000,5.275584,t009_0_1
15A,1380199.000000,824.491637,4095.000000,162.000000,716391.000000,427.951613,583.000000,114.000000,5.275584,t009_0_1
16A,1318994.000000,787.929510,4095.000000,158.000000,727358.000000,434.502987,586.000000,127.000000,5.275584,t009_0_1
17A,1205529.000000,720.148746,4095.000000,167.000000,830767.000000,496.276583,583.000000,137.000000,5.275584,t009_0_1
18A,969216.000000,578.982079,4095.000000,162.000000,831909.000000,496.958781,581.000000,153.000000,5.275584,t009_0_1
19A,1002627.000000,598.940860,4094.000000,153.000000,876652.000000,523.686977,580.000000,181.000000,5.275584,t009_0_1
20A,260871.000000,155.836918,230.000000,148.000000,946992.000000,565.706093,579.000000,549.000000,5.275584,t009_0_1
1A,2461736.000000,1470.571087,4095.000000,148.000000,618521.000000,369.486858,568.000000,190.000000,5.935032,t010_0_1
2A,2321282.000000,1386.667861,4095.000000,150.000000,648537.000000,387.417563,565.000000,169.000000,5.935032,t010_0_1
3A,1570307.000000,938.056750,4095.000000,150.000000,648829.000000,387.591995,567.000000,169.000000,5.935032,t010_0_1
4A,1195791.000000,714.331541,4001.000000,151.000000,660571.000000,394.606332,570.000000,142.000000,5.935032,t010_0_1
5A,885106.000000,528.737157,2394.000000,149.000000,692858.000000,413.893668,575.000000,139.000000,5.935032,t010_0_1
6A,876286.000000,523.468339,3046.000000,149.000000,695018.000000,415.183990,577.000000,142.000000,5.935032,t010_0_1
7A,1076105.000000,642.834528,3180.000000,148.000000,727972.000000,434.869773,577.000000,125.000000,5.935032,t010_0_1
8A,984633.000000,588.191756,4087.000000,149.000000,683037.000000,408.026882,581.000000,118.000000,5.935032,t010_0_1
9A,1180972.000000,705.479092,4095.000000,150.000000,720950.000000,430.675030,579.000000,119.000000,5.935032,t010_0_1
10A,1525662.000000,911.387097,4095.000000,151.000000,716399.000000,427.956392,579.000000,122.000000,5.935032,t010_0_1
11A,1456075.000000,869.817802,3339.000000,151.000000,721385.000000,430.934886,578.000000,127.000000,5.935032,t010_0_1
12A,1434053.000000,856.662485,4095.000000,151.000000,761806.000000,455.081243,579.000000,125.000000,5.935032,t010_0_1
13A,1679824.000000,1003.479092,4095.000000,153.000000,734940.000000,439.032258,582.000000,119.000000,5.935032,t010_0_1
14A,1439449.000000,859.885902,4095.000000,152.000000,761362.000000,454.816010,583.000000,123.000000,5.935032,t010_0_1
15A,1384271.000000,826.924134,4095.000000,157.000000,716730.000000,428.154122,582.000000,112.000000,5.935032,t010_0_1
16A,1310833.000000,783.054361,4095.000000,163.000000,727573.000000,434.631422,584.000000,125.000000,5.935032,t010_0_1
17A,1223140.000000,730.669056,4095.000000,157.000000,830228.000000,495.954600,583.000000,127.000000,5.935032,t010_0_1
18A,954380.000000,570.119474,4095.000000,174.000000,831292.000000,496.590203,582.000000,147.000000,5.935032,t010_0_1
19A,1003528.000000,599.479092,4095.000000,153.000000,876694.000000,523.712067,580.000000,185.000000,5.935032,t010_0_1
20A,260700.000000,155.734767,224.000000,148.000000,947538.000000,566.032258,580.000000,552.000000,5.935032,t010_0_1
